Index,Competition,Date,Home_Team,Away_Team,Home_Score,Away_Score,Season,Place,Year,Month,Atletico_Goals,Opponent_Goals,Goal_Difference,Match_Status
0,Spain Liga,2025-11-01,Atletico Madrid,Sevilla,3,0,2025/26,Home,2025,11,3,0,3,Win
1,Spain Liga,2025-10-27,Real Betis,Atletico Madrid,0,2,2025/26,Away,2025,10,2,0,2,Win
2,UEFA Champions League,2025-10-21,Arsenal,Atletico Madrid,4,0,2025/26,Away,2025,10,0,4,-4,Loss
3,Spain Liga,2025-10-18,Atletico Madrid,Osasuna,1,0,2025/26,Home,2025,10,1,0,1,Win
4,Spain Liga,2025-10-05,Celta Vigo,Atletico Madrid,1,1,2025/26,Away,2025,10,1,1,0,Draw
5,UEFA Champions League,2025-09-30,Atletico Madrid,Eintracht Frankfurt,5,1,2025/26,Home,2025,9,5,1,4,Win
6,Spain Liga,2025-09-27,Atletico Madrid,Real Madrid,5,2,2025/26,Home,2025,9,5,2,3,Win
7,Spain Liga,2025-09-24,Atletico Madrid,Rayo Vallecano,3,2,2025/26,Home,2025,9,3,2,1,Win
8,Spain Liga,2025-09-21,Mallorca,Atletico Madrid,1,1,2025/26,Away,2025,9,1,1,0,Draw
9,UEFA Champions League,2025-09-17,Liverpool FC,Atletico Madrid,3,2,2025/26,Away,2025,9,2,3,-1,Loss
10,Spain Liga,2025-09-13,Atletico Madrid,Villarreal,2,0,2025/26,Home,2025,9,2,0,2,Win
11,Spain Liga,2025-08-30,Deportivo Alaves,Atletico Madrid,1,1,2025/26,Away,2025,8,1,1,0,Draw
12,Spain Liga,2025-08-23,Atletico Madrid,Elche,1,1,2025/26,Home,2025,8,1,1,0,Draw
13,Spain Liga,2025-08-17,RCD Espanyol,Atletico Madrid,2,1,2025/26,Away,2025,8,1,2,-1,Loss
14,Spain Liga,2025-05-25,Girona,Atletico Madrid,0,4,2024/25,Away,2025,5,4,0,4,Win
15,Spain Liga,2025-05-18,Atletico Madrid,Real Betis,4,1,2024/25,Home,2025,5,4,1,3,Win
16,Spain Liga,2025-05-15,Osasuna,Atletico Madrid,2,0,2024/25,Away,2025,5,0,2,-2,Loss
17,Spain Liga,2025-05-10,Atletico Madrid,Real Sociedad,4,0,2024/25,Home,2025,5,4,0,4,Win
18,Spain Liga,2025-05-03,Deportivo Alaves,Atletico Madrid,0,0,2024/25,Away,2025,5,0,0,0,Draw
19,Spain Liga,2025-04-24,Atletico Madrid,Rayo Vallecano,3,0,2024/25,Home,2025,4,3,0,3,Win
20,Spain Liga,2025-04-19,Las Palmas,Atletico Madrid,1,0,2024/25,Away,2025,4,0,1,-1,Loss
21,Spain Liga,2025-04-14,Atletico Madrid,Real Valladolid,4,2,2024/25,Home,2025,4,4,2,2,Win
22,Spain Liga,2025-04-06,Sevilla,Atletico Madrid,1,2,2024/25,Away,2025,4,2,1,1,Win
23,Spain Liga,2025-03-29,RCD Espanyol,Atletico Madrid,1,1,2024/25,Away,2025,3,1,1,0,Draw
24,Spain Liga,2025-03-16,Atletico Madrid,Barcelona,2,4,2024/25,Home,2025,3,2,4,-2,Loss
25,UEFA Champions League,2025-03-12,Atletico Madrid,Real Madrid,1,0,2024/25,Home,2025,3,1,0,1,Win
26,Spain Liga,2025-03-09,Getafe,Atletico Madrid,2,1,2024/25,Away,2025,3,1,2,-1,Loss
27,UEFA Champions League,2025-03-04,Real Madrid,Atletico Madrid,2,1,2024/25,Away,2025,3,1,2,-1,Loss
28,Spain Liga,2025-03-01,Atletico Madrid,Athletic Bilbao,1,0,2024/25,Home,2025,3,1,0,1,Win
29,Spain Liga,2025-02-22,Valencia,Atletico Madrid,0,3,2024/25,Away,2025,2,3,0,3,Win
30,Spain Liga,2025-02-15,Atletico Madrid,Celta Vigo,1,1,2024/25,Home,2025,2,1,1,0,Draw
31,Spain Liga,2025-02-08,Real Madrid,Atletico Madrid,1,1,2024/25,Away,2025,2,1,1,0,Draw
32,Spain Liga,2025-02-01,Atletico Madrid,Mallorca,2,0,2024/25,Home,2025,2,2,0,2,Win
33,UEFA Champions League,2025-01-29,Red Bull Salzburg,Atletico Madrid,1,4,2024/25,Away,2025,1,4,1,3,Win
34,Spain Liga,2025-01-25,Atletico Madrid,Villarreal,1,1,2024/25,Home,2025,1,1,1,0,Draw
35,UEFA Champions League,2025-01-21,Atletico Madrid,Bayer Leverkusen,2,1,2024/25,Home,2025,1,2,1,1,Win
36,Spain Liga,2025-01-18,Leganes,Atletico Madrid,1,0,2024/25,Away,2025,1,0,1,-1,Loss
37,Spain Liga,2025-01-12,Atletico Madrid,Osasuna,1,0,2024/25,Home,2025,1,1,0,1,Win
38,Spain Liga,2024-12-21,Barcelona,Atletico Madrid,1,2,2024/25,Away,2024,12,2,1,1,Win
39,Spain Liga,2024-12-15,Atletico Madrid,Getafe,1,0,2024/25,Home,2024,12,1,0,1,Win
40,UEFA Champions League,2024-12-11,Atletico Madrid,Slovan Bratislava,3,1,2024/25,Home,2024,12,3,1,2,Win
41,Spain Liga,2024-12-08,Atletico Madrid,Sevilla,4,3,2024/25,Home,2024,12,4,3,1,Win
42,Spain Liga,2024-11-30,Real Valladolid,Atletico Madrid,0,5,2024/25,Away,2024,11,5,0,5,Win
43,UEFA Champions League,2024-11-26,Sparta Prague,Atletico Madrid,0,6,2024/25,Away,2024,11,6,0,6,Win
44,Spain Liga,2024-11-23,Atletico Madrid,Deportivo Alaves,2,1,2024/25,Home,2024,11,2,1,1,Win
45,Spain Liga,2024-11-10,Mallorca,Atletico Madrid,0,1,2024/25,Away,2024,11,1,0,1,Win
46,UEFA Champions League,2024-11-06,Paris Saint-Germain,Atletico Madrid,1,2,2024/25,Away,2024,11,2,1,1,Win
47,Spain Liga,2024-11-03,Atletico Madrid,Las Palmas,2,0,2024/25,Home,2024,11,2,0,2,Win
48,Spain Liga,2024-10-27,Real Betis,Atletico Madrid,1,0,2024/25,Away,2024,10,0,1,-1,Loss
49,UEFA Champions League,2024-10-23,Atletico Madrid,Lille,1,3,2024/25,Home,2024,10,1,3,-2,Loss
50,Spain Liga,2024-10-20,Atletico Madrid,Leganes,3,1,2024/25,Home,2024,10,3,1,2,Win
51,Spain Liga,2024-10-06,Real Sociedad,Atletico Madrid,1,1,2024/25,Away,2024,10,1,1,0,Draw
52,UEFA Champions League,2024-10-02,Benfica,Atletico Madrid,4,0,2024/25,Away,2024,10,0,4,-4,Loss
53,Spain Liga,2024-09-29,Atletico Madrid,Real Madrid,1,1,2024/25,Home,2024,9,1,1,0,Draw
54,Spain Liga,2024-09-26,Celta Vigo,Atletico Madrid,0,1,2024/25,Away,2024,9,1,0,1,Win
55,Spain Liga,2024-09-22,Rayo Vallecano,Atletico Madrid,1,1,2024/25,Away,2024,9,1,1,0,Draw
56,UEFA Champions League,2024-09-19,Atletico Madrid,RB Leipzig,2,1,2024/25,Home,2024,9,2,1,1,Win
57,Spain Liga,2024-09-15,Atletico Madrid,Valencia,3,0,2024/25,Home,2024,9,3,0,3,Win
58,Spain Liga,2024-08-31,Athletic Bilbao,Atletico Madrid,0,1,2024/25,Away,2024,8,1,0,1,Win
59,Spain Liga,2024-08-28,Atletico Madrid,RCD Espanyol,0,0,2024/25,Home,2024,8,0,0,0,Draw
